Data from palm_tumV_v_45_90_Reflection_00001.txt Node
Date: Fri Feb 11 15:02:30 ART 2022
User: Nati
Spectrometer: USB2E3644
Trigger mode: 4
Integration Time (sec): 3,520000E-1
Scans to average: 10
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 10
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
178,315	-12,86
178,696	0
179,076	-3,9
179,457	6
179,838	-8
180,218	28,38
180,599	51,92
180,979	162,5
181,36	-72
181,74	-390
182,121	-700
182,501	-268,75
182,881	-165,22
183,262	-116,67
183,642	-80
184,022	-0
184,402	16,13
184,783	-11,76
185,163	-13,89
185,543	-15,25
185,923	-45,16
186,303	-36,67
186,683	-87,18
187,063	-131,82
187,443	-14,81
187,823	11,76
188,203	0
188,583	0
188,963	18
189,343	4,84
189,723	-11,43
190,102	-20,48
190,482	-19,8
190,862	-8,06
191,242	5,15
191,621	18,52
192,001	23,24
192,38	25,67
192,76	23,83
193,14	23,28
193,519	26,57
193,898	24,64
194,278	21,89
194,657	16,57
195,037	25,43
195,416	38,86
195,795	42,61
196,175	37,35
196,554	38,71
196,933	43,95
197,312	43,48
197,692	43,62
198,071	47,1
198,45	39,13
198,829	25,19
199,208	12,03
199,587	-5,77
199,966	-31,65
200,345	-28,4
200,724	-7,95
201,103	13,4
201,482	13,64
201,86	-1,19
202,239	6,02
202,618	-3,53
202,997	-17,72
203,375	-26,03
203,754	-18,31
204,133	-16,13
204,511	-24,19
204,89	-23,94
205,269	-37,31
205,647	-44,93
206,026	-53,45
206,404	-26
206,782	21,31
207,161	42,42
207,539	51,9
207,918	53,92
208,296	39,13
208,674	17,86
209,052	-14,29
209,431	-30,43
209,809	-7,04
210,187	-1,15
210,565	13
210,943	9,09
211,321	0
211,699	-16,67
212,077	-5,21
212,455	-5,56
212,833	-23,19
213,211	-20,55
213,589	-29,41
213,967	-71,19
214,345	-74,58
214,722	-90,74
215,1	-84,85
215,478	-88,31
215,855	-89,29
216,233	-46,23
216,611	-50,51
216,988	-47,31
217,366	-54,74
217,743	-82,28
218,121	-69,51
218,498	-72
218,876	-98,51
219,253	-93,24
219,631	-102,63
220,008	-142,86
220,385	-148,57
220,762	-126,58
221,14	-118,31
221,517	-110,67
221,894	-87,23
222,271	-78,5
222,648	-79,8
223,025	-86,75
223,402	-111,86
223,78	-147,73
224,157	-185,37
224,533	-108,33
224,91	-72,22
225,287	-46,02
225,664	-33,33
226,041	-36,36
226,418	-42,86
226,795	-35,91
227,171	-31,61
227,548	-25,25
227,925	-19,9
228,301	-14,01
228,678	-14,75
229,055	-21,49
229,431	-20
229,808	-12,61
230,184	-11,44
230,561	-17,55
230,937	-23,92
231,313	-21,28
231,69	-17,75
232,066	-23,05
232,442	-29,43
232,819	-23,86
233,195	-20,83
233,571	-19,03
233,947	-14,07
234,323	-10,94
234,699	-5,69
235,075	-2,04
235,451	-3,59
235,827	-6,27
236,203	-6,35
236,579	-4,08
236,955	-3,72
237,331	-1,79
237,707	-0,27
238,083	-0,49
238,459	0,44
238,834	1,39
239,21	1,47
239,586	1,01
239,961	3,59
240,337	4,61
240,713	1,69
241,088	-0,61
241,464	-2,18
241,839	-2,99
242,215	-0,68
242,59	0,39
242,965	1,64
243,341	5,13
243,716	6,31
244,091	7,3
244,467	7,69
244,842	8,37
245,217	7,99
245,592	7,52
245,967	7,36
246,343	8,04
246,718	8,6
247,093	8,45
247,468	8,18
247,843	7,71
248,218	7,53
248,593	7,88
248,967	8,21
249,342	8,92
249,717	9,44
250,092	8,54
250,467	7,71
250,841	7,71
251,216	6,81
251,591	6,39
251,965	5,21
252,34	3
252,714	2,11
253,089	1,85
253,463	1,79
253,838	2,45
254,212	2,82
254,587	3,49
254,961	3,26
255,335	4,69
255,71	5,81
256,084	6,62
256,458	6,68
256,832	7,23
257,206	7,85
257,581	8,12
257,955	9,11
258,329	10
258,703	9,59
259,077	9,71
259,451	9,82
259,825	10,08
260,199	10,91
260,572	11,13
260,946	11,44
261,32	11,58
261,694	11,14
262,068	10,98
262,441	10,75
262,815	11,22
263,189	10,94
263,562	10,8
263,936	11
264,309	11,21
264,683	11,16
265,056	11,01
265,43	10,99
265,803	10,79
266,176	10,6
266,55	10,97
266,923	11,24
267,296	11,49
267,67	11,77
268,043	11,44
268,416	11,31
268,789	11,65
269,162	11,84
269,535	12,35
269,908	12,38
270,281	12,75
270,654	12,94
271,027	13,29
271,4	13,76
271,773	14,04
272,146	14,41
272,519	14,61
272,891	14,4
273,264	14,15
273,637	13,59
274,01	13,51
274,382	13,23
274,755	13,08
275,127	12,63
275,5	12,31
275,872	12,68
276,245	12,72
276,617	12,43
276,99	12,35
277,362	12,52
277,734	12,41
278,107	12,48
278,479	12,66
278,851	12,22
279,223	11,74
279,596	11,43
279,968	11,17
280,34	11,17
280,712	11
281,084	10,81
281,456	11,27
281,828	11,22
282,2	11,54
282,572	11,62
282,944	11,98
283,315	12,23
283,687	12,45
284,059	12,52
284,431	12,47
284,802	12,48
285,174	12,28
285,546	12,43
285,917	12,09
286,289	11,71
286,66	11,85
287,032	12,16
287,403	12,32
287,775	12,4
288,146	12,44
288,518	12,43
288,889	12,42
289,26	12,3
289,632	12,46
290,003	12,34
290,374	12,47
290,745	12,59
291,116	12,22
291,487	11,71
291,858	11,69
292,229	12,17
292,6	12,38
292,971	12,41
293,342	12,43
293,713	12,74
294,084	12,8
294,455	12,66
294,826	12,34
295,196	12,1
295,567	11,99
295,938	11,83
296,308	12
