Data from palm_tumJ_d_45_25_Reflection_15-26-00-031.txt Node
Date: Fri Feb 11 15:26:00 ART 2022
User: Nati
Spectrometer: USB2E3644
Trigger mode: 4
Integration Time (sec): 3,520000E-1
Scans to average: 10
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 10
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
178,315	66,55
178,696	63
179,076	58,57
179,457	57,2
179,838	83,8
180,218	98,13
180,599	135,21
180,979	168,42
181,36	167,51
181,74	151,6
182,121	117,82
182,501	114,63
182,881	112,09
183,262	102,13
183,642	94,28
184,022	90,32
184,402	99,1
184,783	94,29
185,163	89,41
185,543	92,07
185,923	89,3
186,303	85,46
186,683	84,32
187,063	83,24
187,443	83,41
187,823	84,02
188,203	85,58
188,583	85,58
188,963	83,8
189,343	81,28
189,723	83,26
190,102	85,03
190,482	84,48
190,862	83,75
191,242	84,1
191,621	87,94
192,001	88,25
192,38	86,62
192,76	88,72
193,14	91,14
193,519	90,63
193,898	92,75
194,278	93,89
194,657	93,98
195,037	95,1
195,416	96,39
195,795	99,34
196,175	99,49
196,554	100,02
196,933	102,11
197,312	105,32
197,692	104,35
198,071	102,36
198,45	105,53
198,829	110,2
199,208	111,46
199,587	109,98
199,966	109,05
200,345	107,82
200,724	106,65
201,103	106,98
201,482	108,9
201,86	108,21
202,239	110,65
202,618	112,88
202,997	114,53
203,375	115,38
203,754	114,86
204,133	114,99
204,511	115,87
204,89	114,78
205,269	112,23
205,647	113,42
206,026	117,57
206,404	118,13
206,782	112,92
207,161	114,42
207,539	115,97
207,918	119,09
208,296	121,05
208,674	123,83
209,052	125,44
209,431	126,33
209,809	126,51
210,187	123,26
210,565	122,26
210,943	120,82
211,321	118,44
211,699	119,72
212,077	118,33
212,455	113,99
212,833	113,7
213,211	111,47
213,589	109,26
213,967	107,34
214,345	103,25
214,722	104,95
215,1	103,57
215,478	101,89
215,855	99,1
216,233	96,26
216,611	92,6
216,988	88,01
217,366	82,09
217,743	79,64
218,121	80,38
218,498	81,45
218,876	80,99
219,253	83,09
219,631	82,21
220,008	83,11
220,385	86,31
220,762	86,68
221,14	89,09
221,517	86,44
221,894	83,78
222,271	85
222,648	83,44
223,025	83,07
223,402	82,93
223,78	84,53
224,157	86,04
224,533	86,22
224,91	89,37
225,287	94,49
225,664	98,69
226,041	100,72
226,418	97,13
226,795	96,5
227,171	96,22
227,548	97,34
227,925	99,14
228,301	100,72
228,678	101,44
229,055	105,18
229,431	112,27
229,808	116,12
230,184	120,41
230,561	125,19
230,937	134,13
231,313	134,05
231,69	131,58
232,066	137,01
232,442	142,39
232,819	139,76
233,195	134,68
233,571	135,13
233,947	134,6
234,323	146,64
234,699	152,45
235,075	154,54
235,451	157,57
235,827	158,71
236,203	156,73
236,579	157,53
236,955	156,13
237,331	158,43
237,707	164
238,083	168,69
238,459	183,54
238,834	200,17
239,21	248,65
239,586	308,84
239,961	365,91
240,337	481,92
240,713	784,44
241,088	3611,32
241,464	-3000
241,839	-1730,1
242,215	-1060,12
242,59	-520,62
242,965	-189,47
243,341	-77,4
243,716	-42,95
244,091	-26,9
244,467	-18,25
244,842	-12,55
245,217	-8,8
245,592	-7,19
245,967	-9,89
246,343	-11,87
246,718	-15,7
247,093	-19,91
247,468	-22,68
247,843	-22,22
248,218	-18,12
248,593	-14,82
248,967	-11,75
249,342	-8,22
249,717	-8,38
250,092	-7,19
250,467	-8,99
250,841	-9,95
251,216	-13,55
251,591	-17,38
251,965	-22,29
252,34	-28,02
252,714	-36,59
253,089	-46,84
253,463	-46,84
253,838	-41,02
254,212	-36,21
254,587	-24,72
254,961	-16,57
255,335	-8,17
255,71	-2,06
256,084	4,94
256,458	8,76
256,832	11,03
257,206	11,51
257,581	14,04
257,955	14,57
258,329	15,6
258,703	16,85
259,077	18,01
259,451	18,16
259,825	18,1
260,199	18,04
260,572	18,66
260,946	19,87
261,32	20,34
261,694	20,84
262,068	21,61
262,441	21,96
262,815	21,92
263,189	21,26
263,562	20,79
263,936	19,94
264,309	20,04
264,683	19,36
265,056	18,96
265,43	18,08
265,803	18,56
266,176	19,38
266,55	19,06
266,923	18,43
267,296	18,95
267,67	19,77
268,043	20,84
268,416	22,89
268,789	23,69
269,162	23,36
269,535	23,75
269,908	24,27
270,281	24,59
270,654	24,72
271,027	25,06
271,4	25,3
271,773	24,57
272,146	23,62
272,519	23,46
272,891	23,22
273,264	23,5
273,637	22,77
274,01	22,12
274,382	21,96
274,755	22,07
275,127	21,53
275,5	20,77
275,872	20,88
276,245	20,29
276,617	20,15
276,99	20,61
277,362	21,12
277,734	21,27
278,107	20,69
278,479	20,57
278,851	20,28
279,223	20,24
279,596	20,92
279,968	21,64
280,34	22,04
280,712	22,1
281,084	22,27
281,456	22,91
281,828	23,38
282,2	24,02
282,572	24,23
282,944	24,99
283,315	25,64
283,687	25,73
284,059	25,73
284,431	25,54
284,802	25,24
285,174	25,19
285,546	25,05
285,917	25,56
286,289	25,7
286,66	26,01
287,032	26,65
287,403	26,7
287,775	26,56
288,146	26,39
288,518	26,23
288,889	26,38
289,26	26,58
289,632	26,75
290,003	26,75
290,374	27,1
290,745	26,91
291,116	26,32
291,487	25,53
291,858	25,13
292,229	25,05
292,6	24,99
292,971	24,66
293,342	24,71
293,713	24,77
294,084	24,93
294,455	24,87
294,826	24,56
295,196	24,63
295,567	24,69
295,938	24,92
296,308	25,34
296,679	24,97
297,05	24,9
297,42	24,45
297,791	23,98
